item1,item2,n,correlation
mettre,trouver,191,0.2849666844628421
régal,faire,190,0.25464204346486846
faire,régal,190,0.25464204346486846
résultat,NA,189,0.17569916397735916
simple,bon,189,0.20178322365687384
excellent,bon,189,0.3700768261486655
remplacer,recette,189,0.31492171455501633
bon,simple,189,0.20178322365687384
bon,excellent,189,0.3700768261486655
NA,résultat,189,0.17569916397735916
recette,remplacer,189,0.31492171455501633
cuisson,refaire,188,0.2673030604623132
suivi,recette,188,0.38419046378590166
recette,suivi,188,0.38419046378590166
parfaire,ajouter,188,0.2537909990324229
ajouter,parfaire,188,0.2537909990324229
refaire,cuisson,188,0.2673030604623132
cuire,NA,187,0.13708490398291592
rajouter,recette,187,0.20030984108804462
mettre,prochain,187,0.38726177353479724
prochain,mettre,187,0.38726177353479724
aimer,mettre,187,0.2380013093715904
pâte,sucre,187,0.18443322160946155
parfaire,goût,187,0.2338835507894975
goût,parfaire,187,0.2338835507894975
mettre,aimer,187,0.2380013093715904
NA,cuire,187,0.13708490398291592
sucre,pâte,187,0.18443322160946155
recette,rajouter,187,0.20030984108804462
crème,faire,186,0.21069950860832976
cuisson,exceller,186,0.27646174548451313
régal,mettre,186,0.28723503927941324
faire,crème,186,0.21069950860832976
mettre,régal,186,0.28723503927941324
exceller,cuisson,186,0.27646174548451313
rapide,NA,185,0.149966528740079
dessert,recette,185,0.15213359112919073
recette,dessert,185,0.15213359112919073
gâteau,mettre,185,0.31790050937184827
mettre,gâteau,185,0.31790050937184827
NA,rapide,185,0.149966528740079
chocolat,délicieux,184,0.1674018522133556
aimer,faire,184,0.2466646998235224
rapide,faire,184,0.36423559834602776
chocolat,bon,184,0.22060399815626797
simple,refaire,184,0.24542784848018645
refaire,simple,184,0.24542784848018645
cuisson,goût,184,0.2357570357581213
adorer,ajouter,184,0.22058015208518403
ajouter,adorer,184,0.22058015208518403
goût,cuisson,184,0.2357570357581213
faire,aimer,184,0.2466646998235224
faire,rapide,184,0.36423559834602776
délicieux,chocolat,184,0.1674018522133556
bon,chocolat,184,0.22060399815626797
simple,super,183,0.3204033293026643
moelleux,recette,183,0.28484520867138463
super,simple,183,0.3204033293026643
recette,moelleux,183,0.28484520867138463
blanc,recette,182,0.18256651061030418
recette,blanc,182,0.18256651061030418
parfaire,adorer,182,0.2849249188329691
adorer,parfaire,182,0.2849249188329691
NA,quantité,181,0.20907363973890525
prochain,faire,181,0.23939302020821338
cuire,faire,181,0.24987688720589396
quantité,NA,181,0.20907363973890525
faire,prochain,181,0.23939302020821338
cuire,mettre,181,0.24932649537909138
faire,cuire,181,0.24987688720589396
mettre,cuire,181,0.24932649537909138
monde,bon,180,0.2396510771696415
bon,monde,180,0.2396510771696415
gâteau,faire,179,0.23654486647137404
trouver,faire,179,0.2738153077651437
crème,mettre,179,0.2221020274940964
mettre,crème,179,0.2221020274940964
faire,gâteau,179,0.23654486647137404
faire,trouver,179,0.2738153077651437
